English,Bangla
,
abreaction,অ্যাব্যাকশন
Abandon,পরিত্যাগ করা
Ability,ক্ষমতা
Absence,অনুপস্থিতি
Absorb,শোষণ
Abuse,অপব্যবহার
Accelerate,ত্বরান্বিত
Accent,অ্যাকসেন্ট
Access,অ্যাক্সেস
Accident,দুর্ঘটনা
Accommodate,থাকার ব্যবস্থা
Accompany,সাথে
Account,অ্যাকাউন্ট
Accuse,অভিযোগ
Achieve,অর্জন
Acid,অ্যাসিড
Acoustic,অ্যাকোস্টিক
Acquire,অর্জন
Across,জুড়ে
Act,আইন
Action,কর্ম
Active,সক্রিয়
Actor,অভিনেতা
Actual,আসল
Adapt,অভিযোজিত
Add,যোগ করুন
Address,ঠিকানা
Adjust,সামঞ্জস্য করুন
Administer,প্রশাসনিক
Admire,প্রশংসা
Admit,স্বীকার করুন
Adopt,গ্রহণ
Adult,প্রাপ্তবয়স্ক
Advance,অগ্রিম
Adventure,অ্যাডভেঞ্চার
Advertise,বিজ্ঞাপন
Advocate,অ্যাডভোকেট
Affair,ব্যাপার
Affect,প্রভাবিত
Afford,সামর্থ্য
Afraid,ভয়
Against,বিরুদ্ধে
Age,বয়স
Agency,এজেন্সি
Agent,প্রতিনিধি
Aggressive,আক্রমণাত্মক
Agree,সম্মত
Aid,সাহায্য
Aim,লক্ষ্য
Air,বায়ু
Airport,বিমানবন্দর
Alarm,অ্যালার্ম
Album,অ্যালবাম
Alcohol,অ্যালকোহল
Alert,সতর্ক
Alien,পরক
Align,সারিবদ্ধ
Alive,জীবিত
Allergy,অ্যালার্জি
Ally,মিত্র
Alone,একা
Alphabet,বর্ণমালা
Alter,পরিবর্তন
Always,সর্বদা
Amaze,আম্মু
Ambition,উচ্চাকাঙ্ক্ষা
Amount,পরিমাণ
Amuse,আনন্দ
Analyze,বিশ্লেষণ করুন
Ancient,প্রাচীন
Anger,রাগ
Angle,কোণ
Animal,প্রাণী
Ankle,গোড়ালি
Announce,ঘোষণা করা
Annual,বার্ষিক
Answer,উত্তর
Antenna,অ্যান্টেনা
Anticipate,পূর্বানুমান
Anxiety,উদ্বেগ
Apartment,অ্যাপার্টমেন্ট
Apologize,ক্ষমা চাই
Apparent,আপাত
Appeal,আবেদন
Appear,প্রদর্শিত
Applaud,প্রশংসা
Apple,অ্যাপল
Apply,প্রয়োগ করুন
Appoint,নিয়োগ
Approach,পদ্ধতির
Approval,অনুমোদন
April,এপ্রিল
Argue,তর্ক করুন
Arise,উত্থিত
Arm,বাহু
Arrange,ব্যবস্থা করা
Arrest,গ্রেফতার
Arrival,আগমন
Arrow,তীর
Art,শিল্প
Article,নিবন্ধ
Artist,শিল্পী
Artwork,শিল্পকর্ম
Asleep,ঘুমোচ্ছে
Aspect,দিক
Assault,লাঞ্ছনা
Assert,জাহির করা
Assess,মূল্যায়ন
Asset,সম্পদ
Assign,বরাদ্দ
Assist,সহায়তা
Associate,সহযোগী
Assume,ধরুন
Assure,আশ্বাস
Astonish,আশ্চর্য
Attract,আকর্ষণ
Auction,নিলাম
August,আগস্ট
Aunt,খালা
Author,লেখক
Auto,অটো
Autumn,শরত্কাল
Average,গড়
Avocado,অ্যাভোকাডো
Avoid,এড়াতে
Awake,জাগ্রত
Award,পুরষ্কার
Aware,সচেতন
Away,দূরে
Awesome,অসাধারণ
Awkward,বিশ্রী
Baby,বাবু
Bachelor,ব্যাচেলর
Back,পেছনে
Background,পটভূমি
Backpack,ব্যাকপ্যাক
Bacon,বেকন
Bad,খারাপ
Bag,থলে
Bail,জামিন
Bake,বেক
Balance,ভারসাম্য
Ball,বল
Bamboo,বাঁশ
Banana,কলা
Band,ব্যান্ড
Bank,ব্যাংক
Banner,ব্যানার
Bar,বার
Bare,খালি
Bargain,দর কষাকষি
Bark,বাকল
Barn,শস্যাগার
Barrel,ব্যারেল
Base,বেস
Baseball,বেসবল
Basic,বেসিক
Basket,ঝুড়ি
Bathroom,পায়খানা
Battery,ব্যাটারি
Battle,যুদ্ধ
Bay,বে
Beak,বীচ
Beam,মরীচি
Bean,বিন
Bear,ভাল্লুক
Beast,জন্তু
Beat,বীট
Beautiful,সুন্দর
Beauty,সৌন্দর্য
Beaver,বিভার
Become,হয়ে
Bed,বিছানা
Bedroom,শয়নকক্ষ
Bee,মৌমাছি
Beef,গরুর মাংস
Advice,পরামর্শ
Airplane,বিমান
Allow,অনুমতি দিন
Ambulance,অ্যাম্বুলেন্স
Angry,রাগ
Appointment,অ্যাপয়েন্টমেন্ট
Arrive,পৌঁছান
Ask,জিজ্ঞাসা
Attractive,আকর্ষণীয়
Bakery,বেকারি
Bath,স্নান
Beach,সৈকত
Beer,বিয়ার
Begin,শুরু
Bicycle,সাইকেল
Big,বড়
Bike,বাইক
Bird,পাখি
Birthday,জন্মদিন
Bitter,তিক্ত
Black,কালো
Blanket,কম্বল
Blood,রক্ত
Blue,নীল
Book,বই
Boss,বস
Bottle,বোতল
Bowl,বাটি
Box,বাক্স
Boy,ছেলে
Bread,রুটি
Breakfast,প্রাতঃরাশ
Break,বিরতি
Bridge,সেতু
Bright,উজ্জ্বল
Brother,ভাই
Brown,বাদামী
Brush,ব্রাশ
Build,বিল্ড
Bus,বাস
Business,ব্যবসা
Buy,কেনা
Cafe,ক্যাফে
Cake,কেক
Call,কল
Camera,ক্যামেরা
Camp,শিবির
Car,গাড়ি
Card,কার্ড
Care,যত্ন
Carpet,কার্পেট
Carry,বহন
Cash,নগদ
Cat,বিড়াল
Catch,ধরা
Center,কেন্দ্র
Chair,চেয়ার
Chance,সুযোগ
Change,পরিবর্তন
Cheap,সস্তা
Check,পরীক্ষা করুন
Cheese,পনির
Chicken,মুরগী
Child,শিশু
Chocolate,চকোলেট
Church,গির্জা
Cinema,সিনেমা
City,শহর
Clean,পরিষ্কার
Clear,পরিষ্কার
Clinic,ক্লিনিক
Clock,ঘড়ি
Close,বন্ধ
Clothes,বস্ত্র
Cloud,মেঘ
Coffee,কফি
Cold,ঠান্ডা
Collect,সংগ্রহ
Color,রঙ
Comfortable,আরামপ্রদ
Computer,কম্পিউটার
Concert,কনসার্ট
Condition,শর্ত
Connect,সংযুক্ত করুন
Conversation,কথোপকথন
Cook,রান্না
Cookie,কুকি
Cool,শীতল
Corner,কর্নার
Cost,ব্যয়
Count,গণনা
Country,দেশ
Couple,দম্পতি
Course,অবশ্যই
Cousin,কাজিন
Cow,গাভী
Cream,ক্রিম
Credit,ক্রেডিট
Cry,কাঁদো
Cup,কাপ
Curious,কৌতূহলী
Cut,কাটা
Dance,নাচ
Danger,বিপদ
Dark,অন্ধকার
Date,তারিখ
Daughter,মেয়ে
Day,দিন
Dead,মৃত
Deal,ডিল
Dear,প্রিয়
Decide,সিদ্ধান্ত নিন
Deep,গভীর
Delicious,সুস্বাদু
Dentist,ডেন্টিস্ট
Desk,ডেস্ক
accountant,হিসাবরক্ষক
actress,অভিনেত্রী
administrator,প্রশাসক
advisor,উপদেষ্টা
architect,স্থপতি
athlete,অ্যাথলিট
banker,ব্যাংকার
barber,নাপিত
beautician,বিউটিশিয়ান
biologist,জীববিজ্ঞানী
bookkeeper,বুককিপার
bricklayer,ব্রিকলেয়ার
bus driver,বাস চালক
butcher,কসাই
carpenter,কাঠমিস্ত্রি
cashier,কোষাধ্যক্ষ
chef,পাচক
chemist,রসায়নবিদ
childcare worker,সন্তানের যত্ন কর্মী
clerk,কেরানি
coach,কোচ
computer programmer,কম্পিউটার প্রোগ্রামার
construction worker,নির্মাণ শ্রমিক
counselor,পরামর্শদাতা
customer service representative,গ্রাহক পরিষেবা প্রতিনিধি
dancer,নর্তকী
doctor,ডাক্তার
delivery driver,প্রসবের ড্রাইভার
designer,নকশাকার
electrician,বৈদ্যুতিন
engineer,প্রকৌশলী
entrepreneur,উদ্যোক্তা
farmer,কৃষক
firefighter,দমকলকর্মী
flight attendant,বিমানবালা
florist,ফুলবিদ
football player,ফুটবল খেলোয়াড়
forensic scientist,ফরেনসিক বিজ্ঞানী
gardener,মালী
general practitioner,সাধারণ অনুশীলনকারী
geologist,ভূতাত্ত্বিক
abaca,আবাকা
abacus,আবাকাস
abaft,আবুফ্ট
,#VALUE!
,#VALUE!
,#VALUE!
abbey,অ্যাবে
abdomen,পেট
abduct,অপহরণ
abelian,আবেলিয়ান
aberrant,অ্যাবারেন্ট
abeyance,অবসান
abhor,অভিভাবক
abide,মেনে চলা
abiotic,অ্যাবায়োটিক
ablution,ablution
abracadabra,আব্রাকাদাব্রা
abrasion,ঘর্ষণ
abreast,অবিবাহিত
abroad,বিদেশ
abrogate,বাতিল
abrupt,আকস্মিক
abscess,ফোড়া
absurd,অযৌক্তিক
abundance,প্রাচুর্য
abysmal,অসাধারণ
academic,একাডেমিক
accede,প্রশংসা
accept,গ্রহণ
accessory,আনুষাঙ্গিক
acclaim,প্রশংসা
acclimatize,প্রশংসিত
accomplice,সহযোগী
accomplish,সম্পাদন
accord,চুক্তি
accordion,অ্যাকর্ডিয়ান
accost,অ্যাকোস্ট
accumulate,জমা
accuracy,সঠিকতা
accurate,নির্ভুল
accusation,অভিযোগ
accustom,অভ্যস্ত
ache,ব্যথা
acidic,অ্যাসিডিক
acknowledge,স্বীকৃতি
acolyte,অ্যাকোলাইট
acquaint,পরিচিত
acre,একর
acrimony,অ্যাক্রিমনি
acrylic,এক্রাইলিক
activate,সক্রিয়
actuality,বাস্তবতা
acute,তীব্র
adage,প্রবাদ
addict,আসক্তি
addition,যোগ
additive,অ্যাডিটিভ
adduce,যোগ
adequate,পর্যাপ্ত
adhere,মেনে চলুন
adhesive,আঠালো
adjacent,সংলগ্ন
admirable,প্রশংসনীয়
admiration,প্রশংসা
admonish,উপদেশ
adolescent,কৈশোর
adoption,গ্রহণ
adorable,আরাধ্য
adore,আদর
adorn,শোভিত
adroit,অ্যাড্রয়েট
adulation,আদর
advantage,সুবিধা
adventurer,অ্যাডভেঞ্চারার
adventurous,অ্যাডভেঞ্চারস
adversity,প্রতিকূলতা
advert,বিজ্ঞাপন
advisable,পরামর্শযোগ্য
advise,পরামর্শ
Aegean,এজিয়ান
aerial,এরিয়াল
aesthetic,নান্দনিক
afar,আফার
affable,স্নেহময়
affection,স্নেহ
affectionate,স্নেহময়
affinity,স্নেহ
affirm,নিশ্চিত করা
affirmative,ইতিবাচক
affix,affix
afflict,ক্ষতিগ্রস্থ
afflictive,দু: খিত
afloat,আফ্লোট
aforesaid,উপরোক্ত
afresh,নতুন করে
African,আফ্রিকান
after,পরে
afternoon,বিকেল
afterward,পরে
again,আবার
agape,আগপে
agile,কর্মতত্পর
agitate,আন্দোলন
agitation,আন্দোলন
agnostic,অজ্ঞেয়বাদী
ago,আগে
agonize,agonize
agony,যন্ত্রণা
agreeable,সম্মত
agreement,চুক্তি
agricultural,কৃষি
ahead,এগিয়ে
ailment,অসুস্থতা
air force,বিমান বাহিনী
airy,এয়ারি
aisle,আইল
akin,সদৃশ
alabaster,আলাবাস্টার
alarming,উদ্বেগজনক
alas,হায়রে
Alaska,আলাস্কা
alb,আলব
alcoholic,অ্যালকোহল
alder,অ্যাল্ডার
ale,আলে
algae,শৈবাল
alias,ওরফে
alienate,বিচ্ছিন্ন
alike,একই
aliment,এলিমেন্ট
alimony,ভ্রূণ
alkali,ক্ষার
alkaline,ক্ষারীয়
hair stylist,কেশবিন্যাসকারী
historian,ইতিহাসবিদ
housekeeper,গৃহকর্মী
lawyer,আইনজীবী
librarian,গ্রন্থাগারিক
lifeguard,লাইফগার্ড
line cook,লাইন রান্নাঘর
mechanic,যান্ত্রিক
nurse,নার্স
office worker,অফিস কর্মী
optician,অপ্টিশিয়ান
painter,চিত্রশিল্পী
park ranger,পার্ক রেঞ্জার
pharmacist,ফার্মাসিস্ট
photographer,ফটোগ্রাফার
pilot,বিমান - চালক
plumber,প্লাম্বার
police officer,পুলিশ অফিসার
politician,রাজনীতিবিদ
postal worker,ডাক কর্মী
president,রাষ্ট্রপতি
professor,অধ্যাপক
psychologist,মনোবিজ্ঞানী
public relations specialist,জনসংযোগ বিশেষজ্ঞ
real estate agent,রিয়েল এস্টেট এজেন্ট
receptionist,অভ্যর্থনাবাদী
researcher,গবেষক
retail salesperson,খুচরা বিক্রয়কর্মী
roofer,ছাদ
sailor,নাবিক
sales representative,বিক্রয় প্রতিনিধি
scientist,বিজ্ঞানী
secretary,সচিব
security guard,চৌকিদার
server,সার্ভার
social worker,সমাজ কর্মী
soldier,সৈনিক
speech therapist,স্পিচ থেরাপিস্ট
sports coach,ক্রীড়াশিক্ষক
surgeon,সার্জন
teacher,শিক্ষক
technician,প্রযুক্তিবিদ
therapist,থেরাপিস্ট
truck driver,ট্রাক চালক
usher,উশার
veterinarian,পশুচিকিত্সক
waiter,ওয়েটার
waitress,ওয়েট্রেস
web developer,ওয়েব ডেভেলপার
writer,লেখক
zoologist,প্রাণিবিদ
Bedroom,
Abstract,
abstract,